,Position,Company,City,State.Name,Job.Description,Employment.Type,Education.Required
50888,Territory Manager / Insurance Sales Professional,"IPA Family, LLC",Atlanta,Georgia,"Take control of your fiscal future! IPA Family is looking for enthusiastic, entrepreneurial individuals to join its Insurance Sales Manager Program. This is your sales opportunity to go into business for yourself and make a difference in the lives of others.
With changes being made to health care in the United States, the health insurance marketplace is expanding and consumers are looking for guidance and superior customer services. IPA embraces the insurance industry’s future and we need motivated sales partners to us help serve and advise them.

Deeply committed to customer service relationship building, we provide the support you need to be successful, including:
• A diverse sales insurance product portfolio
• Sales leads provided at no cost 
• Ongoing sales training and education 
• Sales management opportunities 
• Sales technological infrastructure 
• Sales Rewards and recognition 
• And more

As a Licensed Insurance Sales Manager, you will be responsible for the following: 
• Providing sales leads to sales representatives to help them achieve their sales goals
• Recruiting Outside Sales Representatives Agents-Trainees 
• Leading new sales agents through the on-boarding process 
• Training Outside Sales Representatives using IPA’s sales training program 
• Motivating sales team to reach sales goals 
• Managing health care insurance sales accounts 
• Mastering IPA databases as well as sales and recruiting platforms


",Full-Time/Part-Time,High School Diploma
79629,Entry Level Caregiver,Home Instead Senior Care,Phoenix,Arizona,"Entry Level Caregiver
&nbsp;
Job Description 
&nbsp;
Do you enjoy getting to know people and building relationships that will last? Do you have a heart for helping those in need? If so, this entry level Caregiver role could be just the fit for you!
&nbsp;
As a Caregiver, you will provide a variety of non-medical, home healthcare services for seniors in their homes, allowing them to be safe and stay independent. At Home Instead Senior Care, we strive to provide compassionate and reliable home services to enable seniors to remain at home. Established in 1994, we&rsquo;ve grown from a handful of local families to over 1,000 franchises nationally and internationally. We support those that are a part of our team, offering competitive pay and benefits as well as a variety of shifts.






Entry Level Caregiver





&nbsp;Job Responsibilities
&nbsp;
Our Entry Level Caregivers provide companionship and conversation for our clients, enhancing the lives of aging adults throughout our community.
&nbsp;
Caregiver duties include:
&nbsp;

    Light housekeeping and preparing meals
    Reminding clients of medications and appointments
    Assisting with grooming, bathing, toileting, and incontinence issues
    Caring for clients with Alzheimer&rsquo;s
",Full-Time/Part-Time,Not Specified
10185,CASHIER,Murphy USA,Paris,Kentucky,"When is a job more than “just a job?”•When you know that you are making a difference in the lives of those around you•When you go to work every day looking forward to the day ahead of you•When the decisions you make on the job really matter to those whom you serve Cashier Whether your goal is to begin a fantastic full-time career or have a great part-time job, your talents will be valued and respected at Murphy USA.  To be successful as a cashier, you need energy, an excellent work ethic, a great attitude and a smile. You will be the face of our company and deliver the legendary customer service that Murphy USA and our associates are known for providing. Your responsibilities will include:•Providing a prompt, efficient, and courteous customer experience•Responding and resolving customer’s requests and concerns•Assisting customers with purchases and fuel transactions•Operating cash register•Restocking merchandise•Performing job related duties as assignedA job is more than just a job when it’s a career at Murphy USA. Murphy understands that a career is about much more than a paycheck and benefits. That’s why we do our best to provide the most supportive and enjoyable atmosphere possible for our employees. Here are just a few reasons why Murphy USA is a great career choice:Enjoy your work!Murphy USA offers a fast paced environment where bright, talented individuals who are willing to work hard are valued and can make a difference. Flexible Schedule!Murphy USA can help you schedule your work around your busy life. Advancement Opportunities!Murphy USA operates over 1,000 locations in over 20 states and is adding new locations every year. The growth provides career advancement opportunities for top performing team members. Earn your degree!All employees who average 20 hours or more per week are eligible for educational assistance offered by Murphy USA.",Part-Time,Not Specified
43343,Part-Time Float Teller - Madison/Hamilton County,KeyBank,Anderson,Indiana,"ABOUT KEY: Cleveland-based KeyCorp is one of the nation's largest bank-based financial services companies, with assets of approximately $92.9 billion. Key companies provide investment management, retail and commercial banking, consumer finance, and investment banking products and services to individuals and companies throughout the United States and, for certain businesses, internationally. The company's businesses deliver their products and services through branches and offices; a network of 1,335 ATMs; telephone banking centers; and a website, Key.com®, that provides account access and financial products 24 hours a day.
				                              ABOUT THE BUSINESS: Key Community Bank serves individuals and small to mid-sized businesses through a footprint of over 1,000 branches, more than 1,300 ATMs, telephone banking centers, and robust online and mobile capabilities.
											  ABOUT THE JOB (JOB BRIEF): The Teller reports to the Branch Manager or to the Operations Leader (Teller Float) and is the initial contact for clients. The Teller is a critical position within the branch and an important member of the branch team. The Teller assists new and existing clients of the Bank with account transactions and uncovers sales opportunities. In addition, he/she acts as a resource in identifying and resolving client servicing issues. The Teller is an extension of the sales team and through conversations with the clients uncovers financial needs, communicates product/promotional opportunities and refers clients to the branch relationship management team. Key's application process for this teller position requires that you complete our Virtual Job Tryout (R), which is an interactive experience via the Internet that takes approximately 45 to 60 minutes to complete. When applying, please provide a valid email address on the application so that Key may send an email with a link to you for completion of the VJT.ESSENTIAL JOB FUNCTIONS: The role of the Teller is to be welcoming, build rapport and provide outstanding service to the Bank clients while performing account transactions. The Teller is responsible for performing accurate account transactions and functions which mirror the sales process (Opportunity Management, Needs Assessment, Present/Pitch, Fulfillment, and Follow Up) in their daily work to create a positive client experience. This includes: Teller Functions - Accept and accurately process all financial service transactions. - Maintain responsibility for cash drawer and follow proper balancing procedures. - Act as a resource to identify and resolve client servicing issues. - Meet individual established referral production goals. - Build Client Rapport - Provide excellent customer service to all KeyBank clients. - Greet and welcome every client as they enter the branch; acknowledge by name, if known. - Accurately process all financial service transactions. - Participate in client appreciation events. - Take ownership of client issues when possible, with the assistance of the branch management. - Make product suggestions based on the client's needs and refer to a member of the branch team. - Help create and establish a business relationship between the Personal Banker and the client. - Present Products - Review and maintain knowledge of product guides, fees and policies to stay current on offerings for product suggestions.- Provide answers and assistance for client questions/concerns, utilizing resources within the branch. - Coordinate time between Personal Banker and client for business meetings as necessary. - Fulfill Client Needs - Continue to build the client relationship by viewing client accounts when performing transactions and identifying potential product needs. - Participate in post/debrief meetings with the branch team involving clients from the day to better understand specific client needs. - Follow- Up - Maintain relationships with Personal Bankers and Branch Managers and notify them of client sales opportunities. - Debrief with the sales team member when a sale was based on a referral made by the Teller. - Ensure more complex sales activities/opportunities are handed off to the Personal Banker. - Ensure compliance with security and audit procedures.  Additional Responsibilities - Involvement in the sales building process and assist on platform as needed.REQUIRED QUALIFICATIONS: Teller - High School Diploma, GED or equivalent business experience. - Customer service experience. - Excellent communication and interpersonal skills. - General understanding of PC with Windows based applications and calculator. - Ability to work branch hours to include weekends and occasional evenings. - Physical Requirements: Prolonged Standing (5- 8 hours per day), frequent use of hands to manipulate/grasp objects, occasional bending and lifting from floor height, frequent forward reach, frequent lifting of 1 - 10 lbs., occasional lifting of up to 30 lbs. Float Teller - In addition to all Teller requirements, the Float Teller must have the ability to work at multiple branch locations.Preferred Qualifications (Teller & Float Teller) - Cash handling experience. - Sales experience with established goals.
											  FLSA STATUS: Non-Exempt
				                              KeyCorp is an Equal Opportunity and Affirmative Action Employer Min/Fem/Vet/Disabled",Part-Time,Not Specified
52698,"Hospice Care Manager, RN (PRN) - Savannah, GA",THA Group/ Island Hospice,Savannah,Georgia,"&nbsp;
THA Group/Island Hospice is innovating the way hospice services are delivered. Operating in Coastal Georgia and South Carolina, our dedicated team members provide value-based, patient-centered care, enabling people to remain where their hearts are; at home.
&nbsp;
&nbsp;
&nbsp;
We are seeking experienced Registered Nurses for PRN positions in Savannah, GA..&nbsp;In this position, you&rsquo;ll be part of the hospice interdisciplinary team and will coordinate skilled nursing care for our hospice patients. Key responsibilities include assessing patient and family needs and providing oversight for patient care in order to promote a positive experience for our patients and their families. ",Per Diem,Not Specified
38459,"Inside Claims Adjuster - Transportation & Cargo - Norcross, GA",Quest Group,Norcross,Georgia,"QuestGroup has an exciting opportunity available in Norcross, GA for a Claims Adjuster with Transportation &amp; Cargo experience. &nbsp;Our client is in the commercial insurance industry and is international in scope. This is an in-house desk job - not a field position. They are seeking someone with some claims adjusting experience and an adjusters license. &nbsp;Additional training will be provided. &nbsp;Must be licensed in Georgia. Compensation is competitive. Contact [Click Here to Email Your Resumé].
",Full-Time/Part-Time,Not Specified
11577,Dishwasher/Dietary Aide,Christian Care Centers - Lakewood Village,Fort Worth,Texas,"

Christian Care Centers, Inc. is a not-for-profit, faith-based, (501(c)(3) tax-exempt organization that operates three elder-care campuses in the Dallas / Fort Worth Metroplex providing quality housing and health care services for seniors in North Texas regardless of race, color, creed, religion, or national origin. 
Christian Care Centers was founded on April 4, 1947.
Lakewood Village, Fort Worth, Texas
Lakewood Village, in Fort Worth, opened in 1982 and has expanded to a current multi-level Campus that provides five levels of senior care: 157&nbsp;Retirement Living&nbsp;apartments, 34&nbsp;Assisted Living Apartments, a 48-bed&nbsp;Skilled Nursing&nbsp;unit with 24-hour&nbsp;nursing&nbsp;and&nbsp;restorative care, accepting&nbsp;Medicare&nbsp;and&nbsp;private pay, and a&nbsp;Wellness Center. Lakewood Village, which is located just minutes from downtown Fort Worth, is nestled on 51 acres of beautiful wooded landscape with a fully stocked lake.

DUTIES AND RESPONSIBILITIES

&nbsp; The duties and responsibilities of the Dietary Aides 1 and 2 include providing assistance in numerous dietary functions as directed, assigned or instructed, in accordance with current applicable federal, state and local standards, guidelines and regulations, and established facility policies and procedures.&nbsp; The person(s) holding this position is delegated the responsibility for carrying out the assigned duties and responsibilities.


IV. FUNCTIONS OF THE JOB

&nbsp;&nbsp;&nbsp; A. ESSENTIAL


&nbsp;1. Set tables, serve food, clear tables, wash pots and pans and 
&nbsp;&nbsp;&nbsp; operate dish machine. 
&nbsp;2. Recognize and respond to emergencies involving residents, and report 
&nbsp;&nbsp;&nbsp; observations.&nbsp; 
&nbsp;3. Remove food trays from carts, dining rooms, etc. and transport to
&nbsp;&nbsp;&nbsp; washing area.
&nbsp;4. Dispose of garbage and trash and keep work areas clean, dry and 
&nbsp;&nbsp;&nbsp; free of hazardous items. 
&nbsp;5. Follow established safety and infection control regulations and 
&nbsp;&nbsp;&nbsp; policies. 
&nbsp;6. Report accidents and incidents to supervisor immediately in all
&nbsp;&nbsp;&nbsp; situations. 
&nbsp;7. Participate in on-going educational programs related to the job.
&nbsp;8. Maintain confidentiality of all resident information and facility 
&nbsp;&nbsp;&nbsp; business. 
&nbsp;9. Report disrepair of kitchen and dietary appliance, equipment, 
&nbsp;&nbsp;&nbsp; etc.
10. Notify supervisor of pending absence or tardiness within the 
&nbsp;&nbsp;&nbsp; time frame described in personnel handbook. 
11. Establish and encourage an atmosphere of optimism, warmth, 
&nbsp;&nbsp;&nbsp; and interest in residents' activity preferences and needs. 
12. Follow established smoking regulations and report violations. 


&nbsp;&nbsp;&nbsp; B. MARGINAL

&nbsp;&nbsp;&nbsp; The following job functions have been determined as marginal or non-essential to the position of Dietary Aides 1 and 2 at Christian Care Center.&nbsp; (See ""Essential Functions"" for interpretation of frequency, percentage and duration.)

&nbsp;1. Assist in establishing food service production line, etc. 
&nbsp;&nbsp;&nbsp; to assure that meals are prepared on time.
&nbsp;2. Assist in and/or direct scheduled cleaning duties. 
&nbsp;3. Assist cook in preparing meals.
&nbsp;4. Participate in and assist with departmental studies and
&nbsp;&nbsp;&nbsp; projects as assigned. 
&nbsp;5. Report complaints and grievances to supervisor within 3 working 
&nbsp;&nbsp;&nbsp; days. 
&nbsp;6. Perform other related duties as assigned by the administrator. 
&nbsp;&nbsp;&nbsp; 
&nbsp;",Part-Time,High School Diploma
40723,Banquet Server,Link staffing,Norfolk,Virginia,"Must be able to serve 6-12 place settings on large tray. Have at least 1 year experience with formal banquet serving. Good customer service skills. MUST HAVE ATTIRE. Must be available mornings, evenings, nights and week-end work required.",Seasonal/Temp,Not Specified
15792,Housekeeper,"The Cypress of Raleigh Club, Inc.",Raleigh,North Carolina,"Join our dedicated team members committed to the highest standards of excellence! Exciting opportunity for hard working, honest, dedicated&nbsp;Housekeeper to join our professional team!&nbsp;&nbsp;This is a PRN&nbsp;position.&nbsp;

Premier retirement community located in Wake County offers a beautiful, non-smoking hospitality focused environment PLUS a competitive salary and an excellent benefits package for eligible employees which includes medical, dental, 401(k) and paid time off! 

Please attach your resume when applying.&nbsp;

Essential Job Duties:
&nbsp;
1.&nbsp;&nbsp; Performs general housekeeping duties in apartments, such as:&nbsp; vacuuming, cleaning bathrooms and&nbsp;&nbsp; kitchens, and dusting of all cleared flat surfaces.
&nbsp;
2.&nbsp;&nbsp; Performs general housekeeping duties of hallways and common areas as directed by supervisor.
&nbsp;
3.&nbsp;&nbsp; Accomplishes all work in the order of priority set by supervisor.
&nbsp;


Other Duties:
&nbsp;
1.&nbsp;&nbsp;&nbsp;&nbsp; Maintains all equipment and supplies in proper condition.
2.&nbsp;&nbsp;&nbsp;&nbsp; Attends in-service training and education sessions, as assigned.
3.&nbsp;&nbsp;&nbsp;&nbsp; Performs specific work duties and responsibilities as assigned by supervisor.
4.&nbsp;&nbsp;&nbsp;&nbsp; Maintains resident confidentiality at all times.
&nbsp;&nbsp;&nbsp;&nbsp;





&nbsp;",Per Diem,Not Specified
67023,HOUSEKEEPER,Life Care Centers of America,Centerville,Tennessee,"HOUSEKEEPERLife Care Center of Centerville, TennesseePRN position available. (EOE/M/F/V/D) RequirementsHousekeeping experience in a health care setting is preferred. A high school diploma or equivalent is required. Professional DevelopmentWe understand that you want to succeed not only as a person but also as a professional. At Life Care Centers of America, we believe in providing our associates with growth opportunities through career advancement to help you reach your maximum potential. We offer competitive pay in a team-oriented environment. LifeCareCareers.com  LCAD #57170",Part-Time,Not Specified
42281,Nurse Care Manager,SolHealth,Lexington,Kentucky,"Job Title:&nbsp;Nurse Care Manager

JOB SUMMARY
&nbsp;
As a Care Manager, you will be providing professional insight to clients in their homes. This involves coordinating client status through comprehensive care planning on a weekly basis. You will be ensuring that doctors&rsquo; orders are followed, supporting family decision-making, monitoring medications, surveying physical activity and safety in the home, along with psychological behavior. You will be submitting your findings and activities electronically after each visit.


JOB RESPONSIBILITIES

    Survey the clients&rsquo; physical, emotional, social, and financial needs
    Create an action plan with clients to improve health and function
    Electronically charting client notes within 24 hours of home visits
    Maintain records of clients&rsquo; care, condition, progress, or problems to report and discuss observations with supervisor, as needed
    Educate and teach the clients/families/caregivers about disease processes, self-management, and maintaining well being
    Ensure prescribed oral medications, under the written direction of physician, are available and ensure clients know how to take their medicine
    Coordinate clients&rsquo; service and care
    Direct client in simple prescribed exercises
    Provide client and family with emotional support and instruction in areas such as preparing healthy meals, living independently, or adapting to disability or illness
    Advocate and connect clients to benefits and other resources they need to remain safe and secure at home


",Full-Time/Part-Time,Not Specified
66638,Staff Accountant,Accountemps,New Berlin,Wisconsin,"Ref ID:04610-107047Classification:Accountant - StaffCompensation:$17.00 to $22.00 per hourAccountemps is looking for a Staff Accountant for a small logistics company in New Berlin. Responsibilities may include: 1. Weekly Payroll 2. A/R Processing invoices, posting payments, some occasional collections calls; Matching & batching invoices 3. A/P Pay the company bills, both through direct deposit and check runs 4. ACH Set-up direct deposit for payroll 5. Pay all of the payroll taxes 6. Select and manage the employee benefits plans 7. Bank Reqs, Reconciliation 8. Journal Entries 9. Back up receptionist duties To be considered for this exciting opportunity, please email your resume and summary of relevant skills to: [Click Here to Email Your Resumé] and [Click Here to Email Your Resumé], or call #262-717-9052",Seasonal/Temp,Not Specified
6774,Receptionist,OfficeTeam,Palm Desert,California,"Ref ID: 00670-109475Classification: Receptionist/SwitchboardCompensation: $10.00 to $12.00 per hourService company in Palm Desert, is seeking experienced office assistant to help with heavy flow of incoming calls as well as general office support including data entry, customer service, filing, and faxing. We are looking for someone with a minimum of 2+ years of office support experience who is comfortable jumping right in and learning new software. Must be able to work in a fast paced work environment, and be extremely organized with an attention to detail. We are looking for someone with a working knowledge of QuickBook basics to assist with data entry and who is extremely comfortable assisting with high-volume of inbound calls and client questions. Please apply with resume if interested.",Seasonal/Temp,Not Specified
28085,Host -Mystic Steakhouse,Mystic Lake Casino and Hotel,Prior Lake,Minnesota,Job Summary: Applies high guest service standards. Directs restaurant patrons to their requested tables/locations. Provides information on restaurant to new patrons.Job Duties:Greets and directs guests to requested tables/locations.  Rearranges table configurations to accommodate guest needs  Interacts with guests by providing information on restaurants and specials and responding to guest inquiries.  ,Part-Time,Not Specified
43919,Full & Part Time Housekeeping / Laundry,Dayton Health and Rehab Center,Dayton,Ohio,"
Full & Part Time Housekeeping / Laundry 

Saber Healthcare Group, a leading long-term care provider, is looking for Full and Part Time Housekeepers and Laundry Staff at Dayton Health and Rehab Center. It is Saber’s mission to provide the highest quality of care possible to all those we are privileged to serve. This entails a continuing commitment to always maintain the highest standards. It is through our tradition of caring and our innovation for the future that our goal of being the best is realized.
  
The Housekeeper and Laundry Staff are responsible to ensure a clean and home-like environment for all residents we serve. The position is fast-paced and will require an individual who has a high standard of cleanliness.",Full-Time/Part-Time,Not Specified
73406,Assistant Teacher,Knowledge Universe,Camp Hill,Pennsylvania,"Knowledge Universe (KU) Assistant Teachers bring warmth, patience, and understanding to the classroom every day, encouraging children to learn and grow. They inspire children to be lifelong learners using our nationally recognized curriculum that promotes social, physical, language, and cognitive development.     They are committed to making their center successful and know that meaningful relationships with children, families, and their team are important to success. They are fully engaged and passionate about their work.    Job Responsibilities and Essential Functions   These are the basic expectations for Assistant Teachers. Of course, creative and new ways to meet or exceed expectations are encouraged, so long as the required essential functions are also met.    Keep Children Safe   Supervision Supervise children closely by keeping all children in sight and using Child Supervision Records properly. Health and Safety Keep your classroom clean and tidy. Be aware of your surroundings and take responsibility to report or fix unsafe conditions if you find them.  Positive Child Guidance Use only positive child guidance techniques to instruct children.  Licensing Familiarize yourself with and work within licensing regulations related to childcare in your location. Create an Unrivaled Education Experience   Teaching Help implement KU’s curriculum in a way that is consistent to meet each child’s unique needs. Assessments Share classroom observations with Teachers and Lead Teachers to help complete assessments.  Support Your Center’s Success   Commitment Come to work on time and ready to give 100% every day.  Cooperation Work encouragingly with your team to achieve the center’s goals. Accreditation Be aware of accreditation standards and actively demonstrate the “Observable Criteria” needed to gain or maintain accreditation.  Center Tours Welcome and engage prospective families who come for a tour. Be ready to speak to the features and benefits of our programs. Mandatory Meetings Attend Professional Development Days, center staff meetings, and any other meetings outside of your regular schedule that are required by your Center Director.  Embrace Ongoing Learning    Service Values Learn KU’s Service Values and seek ways to integrate them into your daily work habits. Curriculum Continue to deepen your knowledge of KU’s curriculum and implement it in the classroom. Best Practices Incorporate early childhood education best practices learned through training and experience, and by working closely with Teachers and Lead Teachers. Technology Learn to use the technology and systems needed for your job, and be willing to learn new programs, applications, systems, or devices as things change. Be Responsive to Changing Needs   Work Hours Work hours may vary to meet the needs of the children in our care and the center. You may need to work more or fewer hours than originally scheduled. Initiative After learning the job, you should be able to keep up on all your responsibilities without direct guidance. Anticipate classroom needs and follow through without prompting. Classroom Assignment You may need to “float” between classrooms to cover lunches, breaks, or ratio changes, or your classroom assignment may change. Other Duties Take on other center duties as needed to care for children, support your co-workers, and contribute to the center’s success. ",Part-Time,Not Specified
65431,Administrative Assist. for Financial Firm In Springdale Area,OfficeTeam,Cincinnati,Ohio,"Ref ID: 03380-106139Classification: Secretary/Admin AsstCompensation: $13.30 to $14.00 per hourWe are seeking an Administrative Assistant to deliver world class service to our clients! In this Administrative Assistant role you will be assisting clients with account set-up, paperwork completion compliance and assisting with assessing client service needs! You will also be assisting with scheduling appointments, calendar management,marketing events, and other administrative, account management projects! 1 year of experience working within an administrative role within a fast-paced environment, strong customer service and interpersonal skills for handling sensitive and confidential situations! Organizational skills, the ability to prioritize and be a team player a must! If you meet the qualifications please email your resume to [Click Here to Email Your Resumé] for immediate consideration!",Seasonal/Temp,Not Specified
5790,RN / Registered Nurse / Home Care Registered Nurse,NHC HomeCare,Bluffton,South Carolina,"NHC HomeCare is a leader in home healthcare with 36 locations across the Southeast. The HomeCare team in Bluffton, SC is seeking a caring, professional Registered Nurse to join our interdisciplinary team at our NHC HomeCare Beaufort office. 

We need a full-time &amp; PRN RN / Registered Nurse to provide Home Care case management and &nbsp; &nbsp; &nbsp; &nbsp; goal-directed care for our patients in their homes. 

We provide a comprehensive benefit package with competitive pay and benefits, including health, life, dental and vision, long term and short term disability, and longterm care insurance options depending on hours worked/scheduled. We also have retirement options for our partners including 401K and stock ownership. We also provide mileage reimbursement.
&nbsp;
Our parent company, National HealthCare Corporation (NHC) is financially stable, publicly traded (AMEX) and has been in the home health business since 1976.",Full-Time/Part-Time,Associate Degree
55751,Administrative Clerk/Data Entry,Priority Business Services,Costa Mesa,California,"
    Type letters, transmittals, leases, subcontracts
    
    Creating the necessary purchase and work oders
    
    Track tenant insurance expirations and send notices
    
    Prepare vendor payment waivers
    
    Assist with mailing vendor payments
    
    Communicate with tenants, create service request forms, submit to property supervisors and follow up
    
    Data entry utilizing Excel
    
    E-mail, fax or mail, montly invoices/ statements to tenants
    
    Open and process mail
    
    Send and receive faxes
    
    Stock office supplies
    
    Nightly post office and overnight mail drop-offs, as needed 
",Part-Time,Not Specified
73422,Craftsman's Apprentice,Handyman Matters,Amarillo,Texas,"Handyman Matters of Amarillo needs your willingness to learn the skilled trades while getting paid to do so! Why pay to go to a school to learn the craftsmen trades when you can get paid to learn. We are one of Amarillo's top-rated handyman, repair, and remodeling companies. We have provided homes and businesses throughout the Amarillo and surrounding areas with quality craftsmanship for all of their repair, maintenance, and remodeling projects - both large and small - inside and outside. We are currently seeking highly motivated apprentices to learn multiple trades with hopes of one day becoming a professional multi-skilled craftsman.  If you are looking for a position that allows you to learn the skilled trades of the carpentry industry, look no further! We find and schedule the jobs for our craftsmen, and you provide the quality support and customer service that our clients have come to expect from us. Full time and part time positions are available. You will be using your own vehicle to travel to job sites in Amarillo and surrounding cities. You will work directly with our craftsmen, in both the residential and commercial divisions. You will report to and receive assignments and training from you designated CIC (Craftsman In Charge). The CIC will sign you in and out on your time sheet each day you work.  Very flexible schedule; Full Time, Part Time. If this sounds like the kind of position you've been looking for, you are ready to learn a trade, and if you meet our qualifications, we want to hear from you. Contact us today!  Here is just some of what we have to offer: Respectful work environmentAdvancement and growth opportunitiesRegular pay reviewsConsistent year-round work  We are looking for Carpenter's Apprentices with a strong work ethic along with a professional appearance and demeanor. You must also display excellent customer service skills, including solid communication and interpersonal abilities, and the ability to interact in a positive way with a wide variety of different types of clients, as well as fellow employees, management, and office personnel. Good communication is KEY in our industry as all aspects are time and response sensitive.  Qualifications for the role include but not limited to: Ability to listen and learn quicklyWork independently with minimal supervision on assigned tasksOwn basic set of tools (hammer, screw drivers, drill, tape measure, etc.)Own dependable transportationCurrent and valid driver's license and auto insurance (proof required at interview)Good troubleshooting, analytical, and problem-solving skillsStrong math, documentation, and communication skillsProfessional appearance and demeanorSmartphone highly recommended for better communications but not requiredEmail address for communication of job assignmentsHigh School diploma or GEDAbility to pass a background check and drug screen",Full-Time/Part-Time,High School Diploma
77983,Registered Nurse RN / Licensed Practical Nurse LPN,BAYADA HOME HEALTH CARE,Oxford,Pennsylvania,"Begin your career in caring with BAYADA Home Health Care!  We believe that our clients come first and that our employees are our greatest asset. Our work is guided by our fundamental values of compassion, excellence, and reliability.  If you are an RN and LPN guided by the same values, this is your chance to join BAYADA’s team of caring professionals.[cr][cr]RN / LPN job openings in the following areas:[cr]• Kennett Square [cr]• Oxford[cr]• West Chester[cr]• Chadds Ford[cr]• Coatesville[cr]• Landenberg[cr]• Cochranville[cr]• West Grove[cr]• Avondale[cr]• Unionville[cr][cr]RN / LPN Responsibilities:[cr]• Assessments[cr]• Medication administration[cr]• Administration of prescribed treatments and therapies[cr]• Communication with members of the patients' multidisciplinary team[cr]• Supply management[cr]• Emergency management[cr][cr]BAYADA offers:[cr]• Competitive wages [cr]• Weekly pay[cr]• Flexible scheduling[cr]• Paid training for Trach and Vent[cr]• Education Scholarship[cr]• Paid Time Off[cr]• 401(k)[cr]• 24 / 7 on call clinical manager support[cr]• Health benefits (full time and part time)Founded in 1975 by J. Mark Baiada, BAYADA Home Health Care provides nursing, rehabilitative, therapeutic, hospice, and assistive care services to children, adults, and seniors in the comfort of their homes. Headquartered in suburban Philadelphia, BAYADA employs more than 18,000 nurses, home health aides, therapists, medical social workers, and other home health care professionals who serve their communities in 25 states from more than 250 offices. For more information, visit www.bayada.com. BAYADA Home Health Care, Inc. is an Equal Opportunity Employer and qualified applicants will not be discriminated against on the basis of race, color, religion, sex, national origin, disability, or veteran status. ",Full-Time/Part-Time,Associate Degree
20591,Payroll Clerk,Accountemps,Londonderry,New Hampshire,"Ref ID:02600-9732159Classification:Payroll ProcessorCompensation:$14.00 to $16.00 per hourAccountemps has partnered with a growing company in the Londonderry Area in need of a payroll clerk to process payroll for 200+ employees. This roll will be responsible for data entry of timed sheets, auditing of time sheets, payroll processing and some administrative/reception duties as needed. This is a great opportunity to gain valuable experience, this role will not last long. Prior payroll processing experience preferred. Interested candidates are encouraged to call Accountemps ASAP at 603-641-9400 for immediate consideration!!!",Seasonal/Temp,Not Specified
58820,"3/4-Time Instructors, Mechanical Engineering",Rowan University,Glassboro,New Jersey,"The Department of Mechanical Engineering is searching for part-time instructors who have an interest and expertise in teaching core mechanical engineering courses. The successful candidate will also teach Freshman and/or Sophomore Engineering Clinics as well as engage in relevant service activities. Candidates should have a strong foundation in one or more areas of Mechanical Engineering, particularly mechanical design, mechanics and thermal-fluid sciences. Excellence in teaching is required. Industrial experience, interest in and ability to conduct research on teaching or engineering work are considered as a positive. The candidate should possess a Ph.D. degree in mechanical engineering and a Baccalaureate degree from an ABET-accredited engineering program (or equivalent).  In addition, the successful candidate is expected to have excellent written and orgal communication skills.Salary: CompetitiveStart Date: September 1, 2015   Rowan University is a comprehensive state-designated research institution with approximately 15,000 students. Its main campus is located in Glassboro, N.J., 20-miles southeast of Philadelphia, and it has a branch campus and medical school in Camden and a second medical school in nearby Stratford. Rowan is the second university in the country to offer M.D. and D.O. medical-degree granting programs. The School of Osteopathic Medicine has a faculty practice plan that serves approximately 200,000 patients in Southern New Jersey. The institution is also home to the South Jersey Technology Park, which fosters the translation of applied research into commercial products and processes. Its business incubator also supports that mission. The University boasts seven colleges-Rohrer College of Business and colleges of Communication and Creative Arts, Education, Engineering, Humanities and Social Sciences, Performing Arts, and Science and Mathematics.   ",Part-Time,Master's Degree
